 League,Year,Season,Type,blueTeamTag,bResult,rResult,redTeamTag,gamelength,blueTop,blueTopChamp,blueJungle,blueJungleChamp,blueMiddle,blueMiddleChamp,blueADC,blueADCChamp,blueSupport,blueSupportChamp,redTop,redTopChamp,redJungle,redJungleChamp,redMiddle,redMiddleChamp,redADC,redADCChamp,redSupport,redSupportChamp,Address
WC,2017,Summer,International,WE,1,0,MSF,27,957,Maokai,Condi,JarvanIV,xiye,Leblanc,Mystic,Xayah,Ben,Janna,Alphari,Chogath,Maxlore,Sejuani,PowerOfEvil,Corki,Hans Sama,Tristana,IgNar,Lulu,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1002380197?gameHash=5c57630cad44e928
WC,2017,Summer,International,TSM,1,0,WE,35,Hauntzer,Chogath,Svenskeren,Gragas,Bjergsen,Corki,Doublelift,Tristana,Biofrost,Rakan,957,Shen,Condi,Sejuani,xiye,Syndra,Mystic,Xayah,Ben,Taric,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1002390351?gameHash=38ec03c78e49db35
WC,2017,Summer,International,FW,0,1,MSF,47,MMD,Chogath,Karsa,Gragas,Maple,Corki,Betty,Jinx,SwordArT,Lulu,Alphari,Trundle,Maxlore,Sejuani,PowerOfEvil,Orianna,Hans Sama,KogMaw,IgNar,Janna,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1002390361?gameHash=7aceed6dc866f2b5
WC,2017,Summer,International,WE,1,0,FW,33,957,Rumble,Condi,Gragas,xiye,Galio,Mystic,Twitch,Ben,Janna,MMD,Shen,Karsa,JarvanIV,Maple,Vladimir,Betty,Tristana,SwordArT,Taric,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1002390437?gameHash=1641738d9a6750f6
WC,2017,Summer,International,MSF,1,0,TSM,46,Alphari,Shen,Maxlore,Gragas,PowerOfEvil,Leblanc,Hans Sama,Xayah,IgNar,Janna,Hauntzer,Renekton,Svenskeren,Sejuani,Bjergsen,Syndra,Doublelift,KogMaw,Biofrost,Nami,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1002390449?gameHash=4a5b7837b180cb69
WC,2017,Summer,International,MSF,1,0,FW,41,Alphari,Chogath,Maxlore,Gragas,PowerOfEvil,Cassiopeia,Hans Sama,Xayah,IgNar,Thresh,MMD,Shen,Karsa,JarvanIV,Maple,Ryze,Betty,Tristana,SwordArT,Rakan,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1002390678?gameHash=d4f91503db875342
WC,2017,Summer,International,WE,1,0,TSM,25,957,Rumble,Condi,Sejuani,xiye,Jayce,Mystic,Caitlyn,Ben,Janna,Hauntzer,Chogath,Svenskeren,JarvanIV,Bjergsen,Ryze,Doublelift,Twitch,Biofrost,Lulu,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1002380411?gameHash=6462c32f02f519f7
WC,2017,Summer,International,FW,0,1,WE,28,MMD,Shen,Karsa,JarvanIV,Maple,Orianna,Betty,Xayah,SwordArT,Lulu,957,Chogath,Condi,Gragas,xiye,Corki,Mystic,Caitlyn,Ben,Janna,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1002380417?gameHash=27c957c7644ee0d8
WC,2017,Summer,International,TSM,1,0,MSF,40,Hauntzer,Gnar,Svenskeren,Sejuani,Bjergsen,Cassiopeia,Doublelift,Twitch,Biofrost,Rakan,Alphari,Yasuo,Maxlore,JarvanIV,PowerOfEvil,Ryze,Hans Sama,Xayah,IgNar,Blitzcrank,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1002380421?gameHash=da147ddde340bd52
WC,2017,Summer,International,TSM,0,1,FW,25,Hauntzer,Chogath,Svenskeren,Gragas,Bjergsen,Cassiopeia,Doublelift,Tristana,Biofrost,Lulu,MMD,Renekton,Karsa,Sejuani,Maple,Corki,Betty,KogMaw,SwordArT,Janna,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1002380428?gameHash=b9208735d0315884
WC,2017,Summer,International,MSF,0,1,WE,45,Alphari,Maokai,Maxlore,RekSai,PowerOfEvil,Cassiopeia,Hans Sama,Varus,IgNar,Janna,957,Chogath,Condi,Sejuani,xiye,Lucian,Mystic,KogMaw,Ben,Lulu,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1002380436?gameHash=66a9e29202902089
WC,2017,Summer,International,MSF,1,0,TSM,31,Alphari,Chogath,Maxlore,Gragas,PowerOfEvil,Orianna,Hans Sama,Xayah,IgNar,Taric,Hauntzer,Jayce,Svenskeren,Sejuani,Bjergsen,Ryze,Doublelift,KogMaw,Biofrost,Karma,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1002380443?gameHash=8087accf2f32c361
WC,2017,Summer,International,LZ,0,1,SSG,45,Khan,Jax,Cuzz,JarvanIV,Bdd,Syndra,PraY,Xayah,GorillA,Thresh,CuVee,Kennen,Ambition,Sejuani,Crown,Malzahar,Ruler,Tristana,CoreJJ,Rakan,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH3/1002290025?gameHash=ccc16d4b994672b2
WC,2017,Summer,International,LZ,0,1,SSG,30,Khan,Chogath,Cuzz,JarvanIV,Bdd,Orianna,PraY,Varus,GorillA,Lulu,CuVee,Shen,Ambition,Sejuani,Crown,Taliyah,Ruler,Tristana,CoreJJ,Taric,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH3/1002290033?gameHash=35d44733aadca739
WC,2017,Summer,International,SSG,1,0,LZ,34,CuVee,Shen,Ambition,Sejuani,Crown,Lissandra,Ruler,Tristana,CoreJJ,Taric,Khan,Trundle,Cuzz,Gragas,Bdd,Taliyah,PraY,Varus,GorillA,Rakan,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH3/1002290034?gameHash=8456a15e54ef0fa1
WC,2017,Summer,International,SKT,1,0,MSF,26,Huni,Jayce,Peanut,Sejuani,Faker,Galio,Bang,Caitlyn,Wolf,Trundle,Alphari,Rumble,Maxlore,JarvanIV,PowerOfEvil,Ryze,Hans Sama,Tristana,IgNar,Taric,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH3/1002300059?gameHash=5b203758165709fc
WC,2017,Summer,International,MSF,1,0,SKT,27,Alphari,Gnar,Maxlore,Sejuani,PowerOfEvil,Karma,Hans Sama,Tristana,IgNar,Blitzcrank,Huni,Chogath,Peanut,JarvanIV,Faker,Corki,Bang,KogMaw,Wolf,Taric,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH3/1002300075?gameHash=af7b2def23f2fb55
WC,2017,Summer,International,SKT,0,1,MSF,41,Huni,Jayce,Blank,Gragas,Faker,Taliyah,Bang,Vayne,Wolf,Lulu,Alphari,JarvanIV,Maxlore,Ivern,PowerOfEvil,Orianna,Hans Sama,Tristana,IgNar,Leona,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH3/1002300076?gameHash=3d27b84047a3497b
WC,2017,Summer,International,MSF,0,1,SKT,38,Alphari,Chogath,Maxlore,Sejuani,PowerOfEvil,Karma,Hans Sama,Sivir,IgNar,Alistar,Huni,Trundle,Blank,JarvanIV,Faker,Ryze,Bang,Tristana,Wolf,Braum,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH3/1002300078?gameHash=866b389e3f3cafec
WC,2017,Summer,International,SKT,1,0,MSF,38,Huni,Jayce,Blank,JarvanIV,Faker,Taliyah,Bang,Tristana,Wolf,TahmKench,Alphari,Shen,Maxlore,Sejuani,PowerOfEvil,Syndra,Hans Sama,Varus,IgNar,Thresh,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH3/1002300079?gameHash=f8867cc432be45d2
WC,2017,Summer,International,FNC,0,1,RNG,44,sOAZ,Trundle,Broxah,Gragas,Caps,Taliyah,Rekkles,Sivir,Jesiz,Janna,Letme,Chogath,Mlxg,Sejuani,Xiaohu,Ryze,Uzi,Tristana,Ming,Soraka,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH3/1002300088?gameHash=42c27c9009697c40
WC,2017,Summer,International,FNC,0,1,RNG,45,sOAZ,Chogath,Broxah,Sejuani,Caps,Taliyah,Rekkles,Vayne,Jesiz,Janna,Letme,Maokai,Mlxg,JarvanIV,Xiaohu,Syndra,Uzi,Tristana,Ming,Soraka,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH3/1002300094?gameHash=a8fe36497ac16ec8
WC,2017,Summer,International,FNC,1,0,RNG,55,sOAZ,Gnar,Broxah,Sejuani,Caps,Malzahar,Rekkles,Tristana,Jesiz,Karma,Letme,Chogath,Mlxg,JarvanIV,Xiaohu,Galio,Uzi,KogMaw,Ming,Morgana,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH3/1002300096?gameHash=3bde9bdca9ee5df9
WC,2017,Summer,International,FNC,0,1,RNG,41,sOAZ,Gnar,Broxah,Sejuani,Caps,Galio,Rekkles,Varus,Jesiz,Taric,Letme,Shen,Mlxg,JarvanIV,Xiaohu,Corki,Uzi,Twitch,Ming,Soraka,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH3/1002300097?gameHash=64cd1c914989aad7
WC,2017,Summer,International,WE,1,0,C9,55,957,Chogath,Condi,Gragas,xiye,Corki,Mystic,KogMaw,Ben,Janna,Impact,Shen,Contractz,JarvanIV,Jensen,AurelionSol,Sneaky,Caitlyn,Smoothie,Lulu,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH3/1002300111?gameHash=40a784de55b0393d
WC,2017,Summer,International,C9,1,0,WE,33,Impact,Singed,Contractz,JarvanIV,Jensen,Orianna,Sneaky,Tristana,Smoothie,Taric,957,Maokai,Condi,Sejuani,xiye,Corki,Mystic,KogMaw,Ben,Karma,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH3/1002300123?gameHash=508b56bbea26f784
WC,2017,Summer,International,WE,0,1,C9,25,957,Chogath,Condi,Maokai,xiye,Jayce,Mystic,Caitlyn,Ben,Lulu,Impact,Singed,Contractz,JarvanIV,Jensen,Taliyah,Sneaky,Tristana,Smoothie,Janna,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH3/1002300125?gameHash=91c5c483e095164f
WC,2017,Summer,International,C9,0,1,WE,34,Impact,Trundle,Contractz,Sejuani,Jensen,Orianna,Sneaky,Xayah,Smoothie,Taric,957,Chogath,Condi,JarvanIV,xiye,Taliyah,Mystic,KogMaw,Ben,Rakan,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH3/1002300127?gameHash=e8f8bdeb1b0e9222
WC,2017,Summer,International,WE,1,0,C9,34,957,Gnar,Condi,Gragas,xiye,Galio,Mystic,KogMaw,Ben,Janna,Impact,Shen,Contractz,Sejuani,Jensen,Orianna,Sneaky,Caitlyn,Smoothie,Lulu,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH3/1002300130?gameHash=ef944fce188d1db9
WC,2017,Summer,International,RNG,1,0,SKT,39,Letme,Shen,Mlxg,Sejuani,Xiaohu,Malzahar,Uzi,Twitch,Ming,Janna,Huni,Gangplank,Blank,Zac,Faker,Galio,Bang,Tristana,Wolf,Blitzcrank,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1002410083?gameHash=387d1887288b1730
WC,2017,Summer,International,SKT,1,0,RNG,31,Huni,Camille,Blank,Gragas,Faker,Galio,Bang,Varus,Wolf,Leona,Letme,Gnar,Mlxg,Nocturne,Xiaohu,Malzahar,Uzi,Twitch,Ming,Rakan,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1002410086?gameHash=a2afb49f2dfafef0
WC,2017,Summer,International,RNG,1,0,SKT,24,Letme,Maokai,Mlxg,Sejuani,Xiaohu,Ryze,Uzi,Vayne,Ming,Taric,Huni,Camille,Blank,Zac,Faker,Galio,Bang,Tristana,Wolf,Lulu,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1002410088?gameHash=2cdd5b690ff721f2
WC,2017,Summer,International,SKT,1,0,RNG,33,Huni,Gnar,Peanut,Gragas,Faker,Galio,Bang,KogMaw,Wolf,Lulu,Letme,Rumble,Mlxg,JarvanIV,Xiaohu,Ryze,Uzi,Twitch,Ming,Soraka,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1002410090?gameHash=8cac6c4a6f69c7ad
WC,2017,Summer,International,RNG,0,1,SKT,42,Letme,Shen,Mlxg,LeeSin,Xiaohu,Corki,Uzi,Tristana,Ming,Taric,Huni,Gnar,Peanut,JarvanIV,Faker,Galio,Bang,Caitlyn,Wolf,Lulu,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1002410092?gameHash=c3479aa3094db0cf
WC,2017,Summer,International,WE,1,0,SSG,28,957,Shen,Condi,Gragas,xiye,Kassadin,Mystic,Xayah,Ben,Rakan,CuVee,Kennen,Ambition,JarvanIV,Crown,Taliyah,Ruler,Tristana,CoreJJ,Taric,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1002410104?gameHash=a95f3c606e851d91
WC,2017,Summer,International,SSG,1,0,WE,29,CuVee,Gnar,Ambition,Gragas,Crown,Malzahar,Ruler,Varus,CoreJJ,Janna,957,Rumble,Condi,JarvanIV,xiye,Galio,Mystic,Twitch,Ben,Taric,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1002410111?gameHash=d96e47e2f7fc396d
WC,2017,Summer,International,WE,0,1,SSG,37,957,Chogath,Condi,JarvanIV,xiye,Orianna,Mystic,Tristana,Ben,Karma,CuVee,Shen,Ambition,Gragas,Crown,Taliyah,Ruler,Varus,CoreJJ,Taric,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1002410112?gameHash=c3869ae5626a2be9
WC,2017,Summer,International,SSG,1,0,WE,33,CuVee,Gnar,Ambition,LeeSin,Crown,Galio,Ruler,Varus,CoreJJ,Rakan,957,Kennen,Condi,JarvanIV,xiye,Taliyah,Mystic,KogMaw,Ben,Taric,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1002410113?gameHash=b96d1afd2faf089d
WC,2017,Summer,International,SSG,1,0,SKT,38,CuVee,Kennen,Ambition,Zac,Crown,Malzahar,Ruler,Xayah,CoreJJ,Janna,Huni,Gnar,Peanut,Gragas,Faker,Cassiopeia,Bang,Varus,Wolf,Lulu,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH3/1002320090?gameHash=a534cb383e6b49dc
WC,2017,Summer,International,SSG,1,0,SKT,35,CuVee,Gnar,Ambition,JarvanIV,Crown,Malzahar,Ruler,Xayah,CoreJJ,Janna,Huni,Yasuo,Peanut,Gragas,Faker,Ryze,Bang,Varus,Wolf,Lulu,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH3/1002320097?gameHash=ce10e47aa8e2d965
WC,2017,Summer,International,SSG,1,0,SKT,41,CuVee,Chogath,Ambition,Sejuani,Crown,Malzahar,Ruler,Varus,CoreJJ,Lulu,Huni,Trundle,Blank,Gragas,Faker,Karma,Bang,Tristana,Wolf,Leona,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH3/1002320098?gameHash=e0e26db5d9c47f5a